Team,Goals_Scored,Goals_Conceded,Matches_Played,Wins,Draws,Losses,Country,League
Augsburg,48.0,38.0,24.0,10.0,10.0,4.0,Germany,Bundesliga
Bayern Munich,62.0,40.0,24.0,10.0,6.0,8.0,Germany,Bundesliga
RB Leipzig,50.0,26.0,24.0,12.0,6.0,6.0,Germany,Bundesliga
Freiburg,48.0,24.0,24.0,14.0,6.0,4.0,Germany,Bundesliga
Heidenheim,54.0,32.0,24.0,16.0,4.0,4.0,Germany,Bundesliga
FC Koln,40.0,24.0,24.0,10.0,8.0,6.0,Germany,Bundesliga
Union Berlin,36.0,38.0,24.0,12.0,2.0,10.0,Germany,Bundesliga
Werder Bremen,48.0,32.0,24.0,14.0,6.0,4.0,Germany,Bundesliga
M''gladbach,46.0,46.0,24.0,6.0,10.0,8.0,Germany,Bundesliga
Mainz,38.0,32.0,24.0,8.0,10.0,6.0,Germany,Bundesliga
Dortmund,36.0,40.0,24.0,10.0,8.0,6.0,Germany,Bundesliga
Stuttgart,56.0,30.0,24.0,14.0,2.0,8.0,Germany,Bundesliga
Bochum,46.0,26.0,24.0,6.0,14.0,4.0,Germany,Bundesliga
Darmstadt,56.0,36.0,24.0,10.0,6.0,8.0,Germany,Bundesliga
Ein Frankfurt,28.0,28.0,24.0,6.0,14.0,4.0,Germany,Bundesliga
Leverkusen,52.0,36.0,24.0,12.0,4.0,8.0,Germany,Bundesliga
Hoffenheim,32.0,54.0,24.0,2.0,4.0,18.0,Germany,Bundesliga
Wolfsburg,48.0,22.0,24.0,16.0,4.0,4.0,Germany,Bundesliga
Arsenal,42.0,30.0,26.0,12.0,8.0,6.0,England,Premier League
Crystal Palace,28.0,28.0,26.0,6.0,8.0,12.0,England,Premier League
Everton,32.0,30.0,26.0,6.0,6.0,14.0,England,Premier League
Bournemouth,46.0,30.0,26.0,12.0,8.0,6.0,England,Premier League
Chelsea,30.0,44.0,26.0,4.0,10.0,12.0,England,Premier League
Newcastle,48.0,32.0,26.0,16.0,6.0,4.0,England,Premier League
Brentford,38.0,34.0,26.0,10.0,10.0,6.0,England,Premier League
Aston Villa,70.0,22.0,26.0,18.0,4.0,4.0,England,Premier League
Burnley,32.0,46.0,26.0,8.0,4.0,14.0,England,Premier League
Liverpool,50.0,24.0,26.0,14.0,8.0,4.0,England,Premier League
Wolves,34.0,38.0,24.0,10.0,6.0,8.0,England,Premier League
Nott'm Forest,42.0,22.0,26.0,14.0,10.0,2.0,England,Premier League
Tottenham,36.0,42.0,26.0,10.0,6.0,10.0,England,Premier League
Brighton,52.0,40.0,26.0,10.0,10.0,6.0,England,Premier League
Man City,50.0,38.0,26.0,14.0,4.0,8.0,England,Premier League
Sheffield United,42.0,40.0,26.0,12.0,6.0,8.0,England,Premier League
Fulham,34.0,26.0,24.0,10.0,6.0,8.0,England,Premier League
Man United,28.0,30.0,26.0,12.0,2.0,12.0,England,Premier League
Luton,38.0,26.0,26.0,10.0,8.0,8.0,England,Premier League
West Ham,48.0,38.0,26.0,12.0,6.0,8.0,England,Premier League
Cadiz,38.0,16.0,26.0,14.0,10.0,2.0,Spain,Laliga
Alaves,34.0,24.0,28.0,16.0,8.0,4.0,Spain,Laliga
Getafe,40.0,24.0,28.0,12.0,16.0,0.0,Spain,Laliga
Vallecano,22.0,42.0,28.0,4.0,14.0,10.0,Spain,Laliga
Celta,34.0,42.0,28.0,8.0,10.0,10.0,Spain,Laliga
Villarreal,40.0,44.0,28.0,6.0,8.0,14.0,Spain,Laliga
Ath Madrid,42.0,40.0,26.0,16.0,4.0,6.0,Spain,Laliga
Barcelona,46.0,32.0,28.0,12.0,8.0,8.0,Spain,Laliga
Almeria,54.0,46.0,28.0,10.0,8.0,10.0,Spain,Laliga
Sevilla,40.0,30.0,26.0,8.0,14.0,4.0,Spain,Laliga
Ath Bilbao,48.0,36.0,26.0,12.0,6.0,8.0,Spain,Laliga
Girona,46.0,48.0,26.0,10.0,2.0,14.0,Spain,Laliga
Osasuna,32.0,40.0,28.0,8.0,6.0,14.0,Spain,Laliga
Mallorca,34.0,26.0,26.0,8.0,14.0,4.0,Spain,Laliga
Sociedad,44.0,34.0,28.0,12.0,10.0,6.0,Spain,Laliga
Betis,46.0,20.0,28.0,12.0,14.0,2.0,Spain,Laliga
Valencia,46.0,22.0,28.0,14.0,8.0,6.0,Spain,Laliga
Las Palmas,28.0,18.0,28.0,14.0,8.0,6.0,Spain,Laliga
Granada,52.0,44.0,28.0,12.0,10.0,6.0,Spain,Laliga
Real Madrid,42.0,32.0,28.0,12.0,6.0,10.0,Spain,Laliga
Brest,28.0,20.0,24.0,10.0,8.0,6.0,France,League1
Le Havre,28.0,22.0,26.0,6.0,14.0,6.0,France,League1
Marseille,38.0,12.0,24.0,14.0,10.0,0.0,France,League1
