date,home_team,score,away_team
23-07-2023,FK SOCHI,2 - 0,Baltika
31-07-2023,Spartak M,2 - 1,Baltika
06-08-2023,Baltika,2 - 1,Fakel Voronezh
13-08-2023,Dinamo Moscow,2 - 0,Baltika
19-08-2023,Baltika,0 - 1,Ural
27-08-2023,Krylya Samara,2 - 1,Baltika
03-09-2023,Lokomotiv M,3 - 2,Baltika
16-09-2023,Baltika,2 - 2,Rostov
23-09-2023,Baltika,1 - 0,Terek Grozny
30-09-2023,CSKA Moscow,1 - 0,Baltika
07-10-2023,Baltika,1 - 0,Gazovik Orenburg
21-10-2023,Baltika,2 - 2,Krasnodar
27-10-2023,Rubin Kazan,1 - 0,Baltika
04-11-2023,Baltika,0 - 2,Zenit St Petersburg
12-11-2023,Nizhny Novgorod,0 - 0,Baltika
25-11-2023,Baltika,? - ?,Spartak M
22-07-2023,Ural,2 - 1,CSKA Moscow
30-07-2023,Terek Grozny,2 - 3,CSKA Moscow
05-08-2023,CSKA Moscow,4 - 1,Lokomotiv M
13-08-2023,CSKA Moscow,3 - 1,FK SOCHI
19-08-2023,Dinamo Moscow,2 - 1,CSKA Moscow
25-08-2023,Gazovik Orenburg,1 - 1,CSKA Moscow
03-09-2023,CSKA Moscow,1 - 1,Zenit St Petersburg
16-09-2023,CSKA Moscow,2 - 2,Krylya Samara
24-09-2023,Rostov,3 - 3,CSKA Moscow
30-09-2023,CSKA Moscow,1 - 0,Baltika
08-10-2023,Spartak M,2 - 2,CSKA Moscow
21-10-2023,Rubin Kazan,0 - 0,CSKA Moscow
29-10-2023,CSKA Moscow,1 - 0,Krasnodar
05-11-2023,CSKA Moscow,3 - 2,Nizhny Novgorod
11-11-2023,Fakel Voronezh,1 - 1,CSKA Moscow
25-11-2023,CSKA Moscow,? - ?,Dinamo Moscow
21-07-2023,Dinamo Moscow,1 - 3,Krasnodar
29-07-2023,Krylya Samara,3 - 3,Dinamo Moscow
06-08-2023,Zenit St Petersburg,2 - 3,Dinamo Moscow
13-08-2023,Dinamo Moscow,2 - 0,Baltika
19-08-2023,Dinamo Moscow,2 - 1,CSKA Moscow
26-08-2023,Rubin Kazan,2 - 2,Dinamo Moscow
03-09-2023,Rostov,1 - 2,Dinamo Moscow
15-09-2023,Dinamo Moscow,1 - 1,Nizhny Novgorod
23-09-2023,Spartak M,1 - 0,Dinamo Moscow
01-10-2023,Terek Grozny,1 - 1,Dinamo Moscow
08-10-2023,Dinamo Moscow,0 - 0,Fakel Voronezh
21-10-2023,Lokomotiv M,0 - 0,Dinamo Moscow
29-10-2023,Dinamo Moscow,2 - 1,Ural
06-11-2023,FK SOCHI,3 - 3,Dinamo Moscow
12-11-2023,Dinamo Moscow,2 - 0,Gazovik Orenburg
25-11-2023,CSKA Moscow,? - ?,Dinamo Moscow
23-07-2023,FK SOCHI,2 - 0,Baltika
30-07-2023,Krasnodar,2 - 0,FK SOCHI
06-08-2023,FK SOCHI,1 - 2,Terek Grozny
13-08-2023,CSKA Moscow,3 - 1,FK SOCHI
19-08-2023,FK SOCHI,4 - 0,Rostov
27-08-2023,FK SOCHI,0 - 1,Lokomotiv M
03-09-2023,Gazovik Orenburg,3 - 0,FK SOCHI
16-09-2023,Spartak M,1 - 0,FK SOCHI
23-09-2023,Krylya Samara,2 - 1,FK SOCHI
01-10-2023,Fakel Voronezh,2 - 0,FK SOCHI
07-10-2023,FK SOCHI,0 - 2,Zenit St Petersburg
22-10-2023,Ural,1 - 4,FK SOCHI
29-10-2023,Nizhny Novgorod,1 - 0,FK SOCHI
06-11-2023,FK SOCHI,3 - 3,Dinamo Moscow
12-11-2023,FK SOCHI,0 - 2,Rubin Kazan
25-11-2023,Zenit St Petersburg,? - ?,FK SOCHI
23-07-2023,Rostov,2 - 1,Fakel Voronezh
30-07-2023,Fakel Voronezh,1 - 4,Lokomotiv M
06-08-2023,Baltika,2 - 1,Fakel Voronezh
13-08-2023,Zenit St Petersburg,2 - 0,Fakel Voronezh
20-08-2023,Fakel Voronezh,2 - 0,Nizhny Novgorod
25-08-2023,Fakel Voronezh,0 - 0,Krasnodar
02-09-2023,Krylya Samara,3 - 0,Fakel Voronezh
17-09-2023,Ural,0 - 0,Fakel Voronezh
25-09-2023,Fakel Voronezh,0 - 1,Rubin Kazan
01-10-2023,Fakel Voronezh,2 - 0,FK SOCHI
08-10-2023,Dinamo Moscow,0 - 0,Fakel Voronezh
21-10-2023,Gazovik Orenburg,1 - 2,Fakel Voronezh
28-10-2023,Fakel Voronezh,2 - 0,Spartak M
04-11-2023,Terek Grozny,1 - 2,Fakel Voronezh
11-11-2023,Fakel Voronezh,1 - 1,CSKA Moscow
26-11-2023,Rubin Kazan,? - ?,Fakel Voronezh
23-07-2023,Spartak M,3 - 2,Gazovik Orenburg
30-07-2023,Rubin Kazan,1 - 1,Gazovik Orenburg
05-08-2023,Gazovik Orenburg,0 - 2,Ural
12-08-2023,Gazovik Orenburg,0 - 2,Krasnodar
20-08-2023,Terek Grozny,4 - 0,Gazovik Orenburg
25-08-2023,Gazovik Orenburg,1 - 1,CSKA Moscow
03-09-2023,Gazovik Orenburg,3 - 0,FK SOCHI
17-09-2023,Lokomotiv M,0 - 2,Gazovik Orenburg
24-09-2023,Nizhny Novgorod,3 - 1,Gazovik Orenburg
30-09-2023,Gazovik Orenburg,3 - 1,Zenit St Petersburg
07-10-2023,Baltika,1 - 0,Gazovik Orenburg
21-10-2023,Gazovik Orenburg,1 - 2,Fakel Voronezh
28-10-2023,Krylya Samara,1 - 1,Gazovik Orenburg
06-11-2023,Gazovik Orenburg,1 - 1,Rostov
12-11-2023,Dinamo Moscow,2 - 0,Gazovik Orenburg
26-11-2023,Gazovik Orenburg,? - ?,Terek Grozny
21-07-2023,Dinamo Moscow,1 - 3,Krasnodar
30-07-2023,Krasnodar,2 - 0,FK SOCHI
04-08-2023,Krasnodar,1 - 0,Nizhny Novgorod
12-08-2023,Gazovik Orenburg,0 - 2,Krasnodar
19-08-2023,Krasnodar,1 - 1,Lokomotiv M
25-08-2023,Fakel Voronezh,0 - 0,Krasnodar
02-09-2023,Krasnodar,2 - 0,Spartak M
16-09-2023,Terek Grozny,1 - 1,Krasnodar
24-09-2023,Krasnodar,2 - 0,Ural
30-09-2023,Rubin Kazan,0 - 2,Krasnodar
07-10-2023,Krasnodar,3 - 2,Rostov
21-10-2023,Baltika,2 - 2,Krasnodar
29-10-2023,CSKA Moscow,1 - 0,Krasnodar
05-11-2023,Krasnodar,2 - 1,Krylya Samara
11-11-2023,Zenit St Petersburg,1 - 1,Krasnodar
26-11-2023,Ural,? - ?,Krasnodar
22-07-2023,Terek Grozny,1 - 2,Krylya Samara
29-07-2023,Krylya Samara,3 - 3,Dinamo Moscow
05-08-2023,Krylya Samara,5 - 1,Rostov
12-08-2023,Lokomotiv M,1 - 1,Krylya Samara
18-08-2023,Rubin Kazan,2 - 1,Krylya Samara
27-08-2023,Krylya Samara,2 - 1,Baltika
02-09-2023,Krylya Samara,3 - 0,Fakel Voronezh
16-09-2023,CSKA Moscow,2 - 2,Krylya Samara
23-09-2023,Krylya Samara,2 - 1,FK SOCHI
01-10-2023,Krylya Samara,4 - 0,Spartak M
08-10-2023,Nizhny Novgorod,2 - 0,Krylya Samara
22-10-2023,Zenit St Petersburg,3 - 1,Krylya Samara
28-10-2023,Krylya Samara,1 - 1,Gazovik Orenburg
05-11-2023,Krasnodar,2 - 1,Krylya Samara
11-11-2023,Krylya Samara,3 - 1,Ural
25-11-2023,Krylya Samara,? - ?,Lokomotiv M
22-07-2023,Lokomotiv M,2 - 2,Rubin Kazan
30-07-2023,Fakel Voronezh,1 - 4,Lokomotiv M
05-08-2023,CSKA Moscow,4 - 1,Lokomotiv M
12-08-2023,Lokomotiv M,1 - 1,Krylya Samara
19-08-2023,Krasnodar,1 - 1,Lokomotiv M
27-08-2023,FK SOCHI,0 - 1,Lokomotiv M
03-09-2023,Lokomotiv M,3 - 2,Baltika
17-09-2023,Lokomotiv M,0 - 2,Gazovik Orenburg
24-09-2023,Zenit St Petersburg,1 - 2,Lokomotiv M
30-09-2023,Lokomotiv M,1 - 0,Nizhny Novgorod
07-10-2023,Ural,2 - 2,Lokomotiv M
21-10-2023,Lokomotiv M,0 - 0,Dinamo Moscow
28-10-2023,Rostov,1 - 0,Lokomotiv M
05-11-2023,Lokomotiv M,1 - 1,Spartak M
11-11-2023,Lokomotiv M,2 - 1,Terek Grozny
25-11-2023,Krylya Samara,? - ?,Lokomotiv M
22-07-2023,Nizhny Novgorod,0 - 2,Zenit St Petersburg
29-07-2023,Ural,0 - 0,Nizhny Novgorod
04-08-2023,Krasnodar,1 - 0,Nizhny Novgorod
14-08-2023,Nizhny Novgorod,2 - 0,Terek Grozny
20-08-2023,Fakel Voronezh,2 - 0,Nizhny Novgorod
26-08-2023,Nizhny Novgorod,1 - 0,Rostov
02-09-2023,Nizhny Novgorod,2 - 1,Rubin Kazan
15-09-2023,Dinamo Moscow,1 - 1,Nizhny Novgorod
24-09-2023,Nizhny Novgorod,3 - 1,Gazovik Orenburg
30-09-2023,Lokomotiv M,1 - 0,Nizhny Novgorod
08-10-2023,Nizhny Novgorod,2 - 0,Krylya Samara
22-10-2023,Spartak M,2 - 0,Nizhny Novgorod
29-10-2023,Nizhny Novgorod,1 - 0,FK SOCHI
05-11-2023,CSKA Moscow,3 - 2,Nizhny Novgorod
12-11-2023,Nizhny Novgorod,0 - 0,Baltika
26-11-2023,Rostov,? - ?,Nizhny Novgorod
23-07-2023,Rostov,2 - 1,Fakel Voronezh
