date,home_team,score,away_team
05-08-2023,Livingston,0 - 0,Aberdeen
13-08-2023,Aberdeen,1 - 3,Celtic
27-08-2023,St Mirren,2 - 2,Aberdeen
03-09-2023,Aberdeen,0 - 2,Hibernian
16-09-2023,Hearts,2 - 0,Aberdeen
24-09-2023,Aberdeen,4 - 0,Ross County
30-09-2023,Rangers,1 - 3,Aberdeen
08-10-2023,Aberdeen,0 - 0,St Johnstone
29-10-2023,Kilmarnock,2 - 0,Aberdeen
01-11-2023,Motherwell,2 - 4,Aberdeen
12-11-2023,Celtic,6 - 0,Aberdeen
26-11-2023,Aberdeen,? - ?,Rangers
05-08-2023,Celtic,4 - 2,Ross County
13-08-2023,Aberdeen,1 - 3,Celtic
26-08-2023,Celtic,0 - 0,St Johnstone
03-09-2023,Rangers,0 - 1,Celtic
16-09-2023,Celtic,3 - 0,Dundee
23-09-2023,Livingston,0 - 3,Celtic
30-09-2023,Motherwell,1 - 2,Celtic
07-10-2023,Celtic,3 - 1,Kilmarnock
22-10-2023,Hearts,1 - 4,Celtic
28-10-2023,Hibernian,0 - 0,Celtic
01-11-2023,Celtic,2 - 1,St Mirren
04-11-2023,Ross County,0 - 3,Celtic
12-11-2023,Celtic,6 - 0,Aberdeen
25-11-2023,Celtic,? - ?,Motherwell
05-08-2023,Dundee,1 - 1,Motherwell
12-08-2023,St Mirren,2 - 1,Dundee
27-08-2023,Dundee,1 - 0,Hearts
02-09-2023,St Johnstone,2 - 2,Dundee
16-09-2023,Celtic,3 - 0,Dundee
23-09-2023,Dundee,2 - 2,Kilmarnock
30-09-2023,Hibernian,0 - 0,Dundee
24-10-2023,Dundee,0 - 0,Ross County
28-10-2023,Livingston,0 - 2,Dundee
01-11-2023,Dundee,0 - 5,Rangers
05-11-2023,Dundee,1 - 0,Livingston
11-11-2023,Dundee,4 - 0,St Mirren
25-11-2023,Dundee,? - ?,Hibernian
05-08-2023,St Johnstone,0 - 2,Hearts
13-08-2023,Hearts,0 - 0,Kilmarnock
27-08-2023,Dundee,1 - 0,Hearts
03-09-2023,Hearts,0 - 1,Motherwell
16-09-2023,Hearts,2 - 0,Aberdeen
23-09-2023,St Mirren,1 - 0,Hearts
30-09-2023,Ross County,0 - 1,Hearts
07-10-2023,Hearts,2 - 2,Hibernian
22-10-2023,Hearts,1 - 4,Celtic
29-10-2023,Rangers,2 - 1,Hearts
01-11-2023,Hearts,1 - 0,Livingston
11-11-2023,Motherwell,1 - 2,Hearts
25-11-2023,Hearts,? - ?,St Johnstone
06-08-2023,Hibernian,2 - 3,St Mirren
13-08-2023,Motherwell,2 - 1,Hibernian
26-08-2023,Hibernian,2 - 3,Livingston
03-09-2023,Aberdeen,0 - 2,Hibernian
16-09-2023,Kilmarnock,2 - 2,Hibernian
23-09-2023,Hibernian,2 - 0,St Johnstone
30-09-2023,Hibernian,0 - 0,Dundee
07-10-2023,Hearts,2 - 2,Hibernian
21-10-2023,Rangers,4 - 0,Hibernian
28-10-2023,Hibernian,0 - 0,Celtic
31-10-2023,Hibernian,2 - 2,Ross County
08-11-2023,St Mirren,2 - 2,Hibernian
11-11-2023,Hibernian,1 - 0,Kilmarnock
25-11-2023,Dundee,? - ?,Hibernian
05-08-2023,Kilmarnock,1 - 0,Rangers
13-08-2023,Hearts,0 - 0,Kilmarnock
