date,home_team,score,away_team
13-08-2023,Adana Demirspor,2 - 1,Rizespor
21-08-2023,Ankaragucu,1 - 1,Adana Demirspor
03-09-2023,Hatayspor,3 - 3,Adana Demirspor
16-09-2023,Adana Demirspor,3 - 0,Pendikspor
24-09-2023,Kasimpasa,2 - 1,Adana Demirspor
27-09-2023,Adana Demirspor,4 - 2,Besiktas
01-10-2023,Adana Demirspor,4 - 0,Alanyaspor
06-10-2023,Adana Demirspor,1 - 0,Trabzonspor
23-10-2023,Fatih Karagümrük,2 - 0,Adana Demirspor
28-10-2023,Adana Demirspor,3 - 0,Konyaspor
05-11-2023,Sivasspor,1 - 1,Adana Demirspor
12-11-2023,Adana Demirspor,0 - 0,Fenerbahce
26-11-2023,Kayserispor,? - ?,Adana Demirspor
14-08-2023,Alanyaspor,2 - 0,Buyuksehyr
19-08-2023,Rizespor,0 - 0,Alanyaspor
27-08-2023,Alanyaspor,0 - 0,Hatayspor
02-09-2023,Pendikspor,1 - 1,Alanyaspor
17-09-2023,Alanyaspor,3 - 3,Kasimpasa
24-09-2023,Alanyaspor,0 - 1,Fenerbahce
01-10-2023,Adana Demirspor,4 - 0,Alanyaspor
06-10-2023,Alanyaspor,2 - 1,Fatih Karagümrük
23-10-2023,Trabzonspor,1 - 0,Alanyaspor
28-10-2023,Alanyaspor,1 - 2,Sivasspor
06-11-2023,Kayserispor,1 - 0,Alanyaspor
11-11-2023,Alanyaspor,0 - 3,Gaziantep BBK
25-11-2023,Galatasaray,? - ?,Alanyaspor
12-08-2023,Kasimpasa,3 - 2,Ankaragucu
21-08-2023,Ankaragucu,1 - 1,Adana Demirspor
27-08-2023,Fatih Karagümrük,1 - 1,Ankaragucu
03-09-2023,Ankaragucu,0 - 1,Fenerbahce
18-09-2023,Sivasspor,1 - 3,Ankaragucu
24-09-2023,Ankaragucu,1 - 1,Konyaspor
30-09-2023,Galatasaray,2 - 1,Ankaragucu
07-10-2023,Ankaragucu,3 - 0,Kayserispor
22-10-2023,İstanbulspor,2 - 1,Ankaragucu
29-10-2023,Ankaragucu,2 - 0,Samsunspor
05-11-2023,Buyuksehyr,3 - 3,Ankaragucu
10-11-2023,Ankaragucu,0 - 4,Antalyaspor
25-11-2023,Gaziantep BBK,? - ?,Ankaragucu
11-08-2023,Trabzonspor,1 - 0,Antalyaspor
18-08-2023,Antalyaspor,1 - 1,Konyaspor
26-08-2023,Sivasspor,1 - 1,Antalyaspor
02-09-2023,Antalyaspor,1 - 1,Kayserispor
17-09-2023,Fenerbahce,3 - 2,Antalyaspor
23-09-2023,Antalyaspor,2 - 0,Samsunspor
30-09-2023,İstanbulspor,1 - 2,Antalyaspor
07-10-2023,Antalyaspor,0 - 2,Galatasaray
21-10-2023,Gaziantep BBK,1 - 0,Antalyaspor
29-10-2023,Antalyaspor,1 - 0,Buyuksehyr
05-11-2023,Antalyaspor,3 - 2,Besiktas
10-11-2023,Ankaragucu,0 - 4,Antalyaspor
26-11-2023,Antalyaspor,? - ?,Rizespor
14-08-2023,Fatih Karagümrük,0 - 1,Besiktas
20-08-2023,Besiktas,1 - 1,Pendikspor
03-09-2023,Besiktas,2 - 0,Sivasspor
17-09-2023,Trabzonspor,3 - 0,Besiktas
24-09-2023,Besiktas,2 - 1,Kayserispor
27-09-2023,Adana Demirspor,4 - 2,Besiktas
01-10-2023,Konyaspor,0 - 2,Besiktas
08-10-2023,Besiktas,2 - 0,İstanbulspor
21-10-2023,Galatasaray,2 - 1,Besiktas
30-10-2023,Besiktas,2 - 0,Gaziantep BBK
05-11-2023,Antalyaspor,3 - 2,Besiktas
12-11-2023,Besiktas,1 - 0,Buyuksehyr
26-11-2023,Samsunspor,? - ?,Besiktas
14-08-2023,Alanyaspor,2 - 0,Buyuksehyr
20-08-2023,Buyuksehyr,0 - 2,Fatih Karagümrük
02-09-2023,Buyuksehyr,0 - 1,Konyaspor
17-09-2023,İstanbulspor,0 - 2,Buyuksehyr
23-09-2023,Buyuksehyr,1 - 2,Galatasaray
28-09-2023,Fenerbahce,4 - 0,Buyuksehyr
02-10-2023,Kayserispor,0 - 0,Buyuksehyr
07-10-2023,Buyuksehyr,2 - 0,Gaziantep BBK
22-10-2023,Samsunspor,0 - 0,Buyuksehyr
29-10-2023,Antalyaspor,1 - 0,Buyuksehyr
05-11-2023,Buyuksehyr,3 - 3,Ankaragucu
12-11-2023,Besiktas,1 - 0,Buyuksehyr
27-11-2023,Buyuksehyr,? - ?,Pendikspor
14-08-2023,Fatih Karagümrük,0 - 1,Besiktas
20-08-2023,Buyuksehyr,0 - 2,Fatih Karagümrük
27-08-2023,Fatih Karagümrük,1 - 1,Ankaragucu
01-09-2023,Rizespor,1 - 0,Fatih Karagümrük
18-09-2023,Fatih Karagümrük,0 - 0,Hatayspor
23-09-2023,Pendikspor,1 - 1,Fatih Karagümrük
01-10-2023,Fatih Karagümrük,2 - 3,Kasimpasa
06-10-2023,Alanyaspor,2 - 1,Fatih Karagümrük
23-10-2023,Fatih Karagümrük,2 - 0,Adana Demirspor
29-10-2023,Fatih Karagümrük,0 - 0,Trabzonspor
05-11-2023,Konyaspor,1 - 1,Fatih Karagümrük
11-11-2023,Fatih Karagümrük,3 - 0,Sivasspor
26-11-2023,Fenerbahce,? - ?,Fatih Karagümrük
13-08-2023,Fenerbahce,2 - 1,Gaziantep BBK
21-08-2023,Samsunspor,0 - 2,Fenerbahce
03-09-2023,Ankaragucu,0 - 1,Fenerbahce
17-09-2023,Fenerbahce,3 - 2,Antalyaspor
24-09-2023,Alanyaspor,0 - 1,Fenerbahce
28-09-2023,Fenerbahce,4 - 0,Buyuksehyr
01-10-2023,Fenerbahce,5 - 0,Rizespor
