date,home_team,score,away_team
13-08-2023,Brest,3 - 2,Lens
20-08-2023,Le Havre,1 - 2,Brest
26-08-2023,Marseille,2 - 0,Brest
02-09-2023,Brest,0 - 0,Rennes
17-09-2023,Reims,1 - 2,Brest
23-09-2023,Brest,1 - 0,Lyon
01-10-2023,Nice,0 - 0,Brest
08-10-2023,Brest,1 - 1,Toulouse
22-10-2023,Lille,1 - 0,Brest
29-10-2023,Brest,2 - 3,Paris SG
05-11-2023,Monaco,2 - 0,Brest
26-11-2023,Montpellier,? - ?,Brest
13-08-2023,Clermont,2 - 4,Monaco
20-08-2023,Reims,2 - 0,Clermont
27-08-2023,Clermont,0 - 1,Metz
03-09-2023,Toulouse,2 - 2,Clermont
17-09-2023,Clermont,0 - 1,Nantes
24-09-2023,Le Havre,2 - 1,Clermont
30-09-2023,Clermont,0 - 0,Paris SG
22-10-2023,Lyon,1 - 2,Clermont
27-10-2023,Clermont,0 - 1,Nice
05-11-2023,Strasbourg,0 - 0,Clermont
12-11-2023,Clermont,1 - 0,Lorient
25-11-2023,Clermont,? - ?,Lens
13-08-2023,Montpellier,2 - 2,Le Havre
20-08-2023,Le Havre,1 - 2,Brest
27-08-2023,Rennes,2 - 2,Le Havre
03-09-2023,Le Havre,3 - 0,Lorient
17-09-2023,Lyon,0 - 0,Le Havre
24-09-2023,Le Havre,2 - 1,Clermont
01-10-2023,Le Havre,0 - 2,Lille
08-10-2023,Marseille,3 - 0,Le Havre
20-10-2023,Le Havre,0 - 0,Lens
29-10-2023,Metz,0 - 0,Le Havre
05-11-2023,Toulouse,1 - 2,Le Havre
11-11-2023,Le Havre,0 - 0,Monaco
26-11-2023,Nantes,? - ?,Le Havre
13-08-2023,Brest,3 - 2,Lens
20-08-2023,Lens,1 - 1,Rennes
26-08-2023,Paris SG,3 - 1,Lens
02-09-2023,Monaco,3 - 0,Lens
16-09-2023,Lens,0 - 1,Metz
24-09-2023,Lens,2 - 1,Toulouse
29-09-2023,Strasbourg,0 - 1,Lens
08-10-2023,Lens,1 - 1,Lille
20-10-2023,Le Havre,0 - 0,Lens
28-10-2023,Lens,4 - 0,Nantes
04-11-2023,Lorient,0 - 0,Lens
12-11-2023,Lens,1 - 0,Marseille
25-11-2023,Clermont,? - ?,Lens
11-08-2023,Nice,1 - 1,Lille
20-08-2023,Lille,2 - 0,Nantes
27-08-2023,Lorient,4 - 1,Lille
03-09-2023,Lille,1 - 0,Montpellier
16-09-2023,Rennes,2 - 2,Lille
26-09-2023,Lille,1 - 2,Reims
01-10-2023,Le Havre,0 - 2,Lille
08-10-2023,Lens,1 - 1,Lille
22-10-2023,Lille,1 - 0,Brest
29-10-2023,Lille,2 - 0,Monaco
04-11-2023,Marseille,0 - 0,Lille
12-11-2023,Lille,1 - 1,Toulouse
26-11-2023,Lyon,? - ?,Lille
12-08-2023,Paris SG,0 - 0,Lorient
20-08-2023,Lorient,1 - 1,Nice
27-08-2023,Lorient,4 - 1,Lille
03-09-2023,Le Havre,3 - 0,Lorient
17-09-2023,Lorient,2 - 2,Monaco
23-09-2023,Nantes,5 - 3,Lorient
01-10-2023,Lorient,0 - 3,Montpellier
08-10-2023,Lyon,3 - 3,Lorient
22-10-2023,Lorient,2 - 1,Rennes
28-10-2023,Reims,1 - 0,Lorient
04-11-2023,Lorient,0 - 0,Lens
12-11-2023,Clermont,1 - 0,Lorient
26-11-2023,Lorient,? - ?,Metz
13-08-2023,Strasbourg,2 - 1,Lyon
19-08-2023,Lyon,1 - 4,Montpellier
27-08-2023,Nice,0 - 0,Lyon
03-09-2023,Lyon,1 - 4,Paris SG
17-09-2023,Lyon,0 - 0,Le Havre
23-09-2023,Brest,1 - 0,Lyon
01-10-2023,Reims,2 - 0,Lyon
08-10-2023,Lyon,3 - 3,Lorient
22-10-2023,Lyon,1 - 2,Clermont
05-11-2023,Lyon,1 - 1,Metz
12-11-2023,Rennes,0 - 1,Lyon
26-11-2023,Lyon,? - ?,Lille
12-08-2023,Marseille,2 - 1,Reims
18-08-2023,Metz,2 - 2,Marseille
26-08-2023,Marseille,2 - 0,Brest
01-09-2023,Nantes,1 - 1,Marseille
17-09-2023,Marseille,0 - 0,Toulouse
24-09-2023,Paris SG,4 - 0,Marseille
30-09-2023,Monaco,3 - 2,Marseille
08-10-2023,Marseille,3 - 0,Le Havre
21-10-2023,Nice,1 - 0,Marseille
04-11-2023,Marseille,0 - 0,Lille
12-11-2023,Lens,1 - 0,Marseille
25-11-2023,Strasbourg,? - ?,Marseille
13-08-2023,Rennes,5 - 1,Metz
18-08-2023,Metz,2 - 2,Marseille
27-08-2023,Clermont,0 - 1,Metz
03-09-2023,Metz,2 - 2,Reims
16-09-2023,Lens,0 - 1,Metz
24-09-2023,Metz,0 - 1,Strasbourg
01-10-2023,Toulouse,3 - 0,Metz
07-10-2023,Metz,0 - 1,Nice
22-10-2023,Monaco,2 - 1,Metz
29-10-2023,Metz,0 - 0,Le Havre
05-11-2023,Lyon,1 - 1,Metz
12-11-2023,Metz,3 - 1,Nantes
