date,home_team,score,away_team
13-08-2023,AZ Alkmaar,5 - 1,GO Ahead Eagles
20-08-2023,Waalwijk,1 - 3,AZ Alkmaar
03-09-2023,Vitesse,0 - 2,AZ Alkmaar
17-09-2023,AZ Alkmaar,2 - 0,Sparta Rotterdam
24-09-2023,Zwolle,0 - 3,AZ Alkmaar
28-09-2023,AZ Alkmaar,1 - 1,Heracles
01-10-2023,AZ Alkmaar,4 - 0,Fortuna Sittard
08-10-2023,Ajax,1 - 2,AZ Alkmaar
21-10-2023,AZ Alkmaar,3 - 0,Heerenveen
04-11-2023,Excelsior,1 - 1,AZ Alkmaar
12-11-2023,Feyenoord,1 - 0,AZ Alkmaar
26-11-2023,AZ Alkmaar,? - ?,FC Volendam
12-08-2023,Ajax,4 - 1,Heracles
19-08-2023,Excelsior,2 - 2,Ajax
03-09-2023,Fortuna Sittard,0 - 0,Ajax
17-09-2023,Twente,3 - 1,Ajax
27-09-2023,Ajax,0 - 4,Feyenoord
08-10-2023,Ajax,1 - 2,AZ Alkmaar
22-10-2023,Utrecht,4 - 3,Ajax
29-10-2023,PSV Eindhoven,5 - 2,Ajax
02-11-2023,Ajax,2 - 0,FC Volendam
05-11-2023,Ajax,4 - 1,Heerenveen
12-11-2023,Almere City FC,2 - 2,Ajax
25-11-2023,Ajax,? - ?,Vitesse
13-08-2023,Almere City FC,1 - 4,Twente
19-08-2023,Fortuna Sittard,2 - 1,Almere City FC
27-08-2023,Feyenoord,6 - 1,Almere City FC
02-09-2023,Almere City FC,1 - 2,Zwolle
17-09-2023,Excelsior,0 - 0,Almere City FC
23-09-2023,Almere City FC,0 - 4,PSV Eindhoven
30-09-2023,Utrecht,0 - 2,Almere City FC
07-10-2023,Almere City FC,1 - 0,Waalwijk
21-10-2023,NEC Nijmegen,1 - 1,Almere City FC
28-10-2023,Almere City FC,0 - 0,GO Ahead Eagles
05-11-2023,Sparta Rotterdam,1 - 2,Almere City FC
12-11-2023,Almere City FC,2 - 2,Ajax
26-11-2023,Almere City FC,? - ?,Heracles
13-08-2023,NEC Nijmegen,3 - 4,Excelsior
19-08-2023,Excelsior,2 - 2,Ajax
26-08-2023,Excelsior,2 - 2,Fortuna Sittard
02-09-2023,Heracles,3 - 1,Excelsior
17-09-2023,Excelsior,0 - 0,Almere City FC
23-09-2023,Heerenveen,0 - 3,Excelsior
01-10-2023,Excelsior,2 - 1,Sparta Rotterdam
07-10-2023,Vitesse,0 - 0,Excelsior
22-10-2023,Excelsior,2 - 4,Zwolle
29-10-2023,FC Volendam,3 - 1,Excelsior
04-11-2023,Excelsior,1 - 1,AZ Alkmaar
12-11-2023,Utrecht,2 - 2,Excelsior
25-11-2023,Excelsior,? - ?,Feyenoord
11-08-2023,FC Volendam,1 - 2,Vitesse
19-08-2023,GO Ahead Eagles,4 - 1,FC Volendam
03-09-2023,FC Volendam,0 - 2,Twente
16-09-2023,Fortuna Sittard,3 - 1,FC Volendam
23-09-2023,FC Volendam,2 - 2,Heracles
30-09-2023,PSV Eindhoven,3 - 1,FC Volendam
06-10-2023,FC Volendam,1 - 0,Utrecht
21-10-2023,Waalwijk,2 - 1,FC Volendam
29-10-2023,FC Volendam,3 - 1,Excelsior
02-11-2023,Ajax,2 - 0,FC Volendam
05-11-2023,NEC Nijmegen,3 - 3,FC Volendam
12-11-2023,FC Volendam,1 - 4,Sparta Rotterdam
26-11-2023,AZ Alkmaar,? - ?,FC Volendam
13-08-2023,Feyenoord,0 - 0,Fortuna Sittard
20-08-2023,Sparta Rotterdam,2 - 2,Feyenoord
27-08-2023,Feyenoord,6 - 1,Almere City FC
03-09-2023,Utrecht,1 - 5,Feyenoord
16-09-2023,Feyenoord,6 - 1,Heerenveen
27-09-2023,Ajax,0 - 4,Feyenoord
30-09-2023,Feyenoord,3 - 1,GO Ahead Eagles
08-10-2023,Zwolle,0 - 2,Feyenoord
21-10-2023,Feyenoord,4 - 0,Vitesse
29-10-2023,Twente,2 - 1,Feyenoord
04-11-2023,Waalwijk,1 - 2,Feyenoord
12-11-2023,Feyenoord,1 - 0,AZ Alkmaar
25-11-2023,Excelsior,? - ?,Feyenoord
13-08-2023,Feyenoord,0 - 0,Fortuna Sittard
19-08-2023,Fortuna Sittard,2 - 1,Almere City FC
26-08-2023,Excelsior,2 - 2,Fortuna Sittard
03-09-2023,Fortuna Sittard,0 - 0,Ajax
16-09-2023,Fortuna Sittard,3 - 1,FC Volendam
22-09-2023,GO Ahead Eagles,3 - 0,Fortuna Sittard
01-10-2023,AZ Alkmaar,4 - 0,Fortuna Sittard
08-10-2023,Fortuna Sittard,0 - 3,Twente
21-10-2023,PSV Eindhoven,3 - 1,Fortuna Sittard
28-10-2023,Fortuna Sittard,0 - 0,Utrecht
05-11-2023,Zwolle,2 - 0,Fortuna Sittard
10-11-2023,Fortuna Sittard,4 - 1,Heracles
25-11-2023,Heerenveen,? - ?,Fortuna Sittard
13-08-2023,AZ Alkmaar,5 - 1,GO Ahead Eagles
19-08-2023,GO Ahead Eagles,4 - 1,FC Volendam
02-09-2023,GO Ahead Eagles,3 - 2,Heerenveen
17-09-2023,Zwolle,1 - 1,GO Ahead Eagles
22-09-2023,GO Ahead Eagles,3 - 0,Fortuna Sittard
27-09-2023,PSV Eindhoven,3 - 0,GO Ahead Eagles
30-09-2023,Feyenoord,3 - 1,GO Ahead Eagles
07-10-2023,GO Ahead Eagles,4 - 0,Heracles
22-10-2023,GO Ahead Eagles,0 - 0,Sparta Rotterdam
28-10-2023,Almere City FC,0 - 0,GO Ahead Eagles
04-11-2023,GO Ahead Eagles,5 - 1,Vitesse
11-11-2023,Waalwijk,0 - 1,GO Ahead Eagles
26-11-2023,NEC Nijmegen,? - ?,GO Ahead Eagles
12-08-2023,Heerenveen,3 - 1,Waalwijk
20-08-2023,Utrecht,0 - 2,Heerenveen
27-08-2023,Heerenveen,1 - 3,Sparta Rotterdam
02-09-2023,GO Ahead Eagles,3 - 2,Heerenveen
16-09-2023,Feyenoord,6 - 1,Heerenveen
23-09-2023,Heerenveen,0 - 3,Excelsior
30-09-2023,Twente,1 - 0,Heerenveen
07-10-2023,Heerenveen,1 - 1,NEC Nijmegen
21-10-2023,AZ Alkmaar,3 - 0,Heerenveen
28-10-2023,Heerenveen,3 - 0,Heracles
05-11-2023,Ajax,4 - 1,Heerenveen
11-11-2023,Vitesse,1 - 3,Heerenveen
